"Technology","Age","Value","Year","Mode"
"HEB-D",19,0,2012,"Public bus"
"CNGB",19,0,2012,"Public bus"
"EB",19,0,2012,"Public bus"
"ICEB-D",20,10,2012,"Public bus"
"HEB-D",20,0,2012,"Public bus"
"CNGB",20,0,2012,"Public bus"
"EB",20,0,2012,"Public bus"
"ICEB-D",0,676,2013,"Public bus"
"HEB-D",0,0,2013,"Public bus"
"CNGB",0,0,2013,"Public bus"
"EB",0,0,2013,"Public bus"
"ICEB-D",1,393,2013,"Public bus"
"HEB-D",1,0,2013,"Public bus"
"CNGB",1,0,2013,"Public bus"
"EB",1,0,2013,"Public bus"
"ICEB-D",2,391,2013,"Public bus"
"HEB-D",2,0,2013,"Public bus"
"CNGB",2,0,2013,"Public bus"
"EB",2,0,2013,"Public bus"
"ICEB-D",3,179,2013,"Public bus"
"HEB-D",3,1,2013,"Public bus"
