"Technology","Age","Value","Year","Mode"
"EM",0,0,2015,"Motorcycle"
"ICEM-G",1,8530,2015,"Motorcycle"
"EM",1,0,2015,"Motorcycle"
"ICEM-G",2,10934,2015,"Motorcycle"
"EM",2,0,2015,"Motorcycle"
"ICEM-G",3,7876,2015,"Motorcycle"
"EM",3,0,2015,"Motorcycle"
"ICEM-G",4,7228,2015,"Motorcycle"
"EM",4,1,2015,"Motorcycle"
"ICEM-G",5,7934,2015,"Motorcycle"
"EM",5,1,2015,"Motorcycle"
"ICEM-G",6,8144,2015,"Motorcycle"
"EM",6,1,2015,"Motorcycle"
"ICEM-G",7,9364,2015,"Motorcycle"
"EM",7,0,2015,"Motorcycle"
"ICEM-G",8,8463,2015,"Motorcycle"
"EM",8,0,2015,"Motorcycle"
"ICEM-G",9,20227,2015,"Motorcycle"
"EM",9,0,2015,"Motorcycle"
"ICEM-G",10,5044,2015,"Motorcycle"
"EM",10,0,2015,"Motorcycle"
"ICEM-G",11,5975,2015,"Motorcycle"
"EM",11,0,2015,"Motorcycle"
"ICEM-G",12,8291,2015,"Motorcycle"
"EM",12,0,2015,"Motorcycle"
"ICEM-G",13,8660,2015,"Motorcycle"
"EM",13,0,2015,"Motorcycle"
"ICEM-G",14,5283,2015,"Motorcycle"
"EM",14,0,2015,"Motorcycle"
"ICEM-G",15,3777,2015,"Motorcycle"
"EM",15,0,2015,"Motorcycle"
"ICEM-G",16,2880,2015,"Motorcycle"
"EM",16,0,2015,"Motorcycle"
"ICEM-G",17,2452,2015,"Motorcycle"
"EM",17,0,2015,"Motorcycle"
"ICEM-G",18,1858,2015,"Motorcycle"
"EM",18,0,2015,"Motorcycle"
"ICEM-G",19,1306,2015,"Motorcycle"
"EM",19,0,2015,"Motorcycle"
"ICEM-G",20,629,2015,"Motorcycle"
"EM",20,0,2015,"Motorcycle"
"ICEM-G",0,12580,2016,"Motorcycle"
"EM",0,0,2016,"Motorcycle"
"ICEM-G",1,8422,2016,"Motorcycle"
"EM",1,0,2016,"Motorcycle"
"ICEM-G",2,8502,2016,"Motorcycle"
"EM",2,0,2016,"Motorcycle"
"ICEM-G",3,10878,2016,"Motorcycle"
"EM",3,0,2016,"Motorcycle"
"ICEM-G",4,7815,2016,"Motorcycle"
"EM",4,0,2016,"Motorcycle"
"ICEM-G",5,7164,2016,"Motorcycle"
"EM",5,1,2016,"Motorcycle"
"ICEM-G",6,7824,2016,"Motorcycle"
"EM",6,1,2016,"Motorcycle"
"ICEM-G",7,8022,2016,"Motorcycle"
"EM",7,1,2016,"Motorcycle"
"ICEM-G",8,9163,2016,"Motorcycle"
"EM",8,0,2016,"Motorcycle"
"ICEM-G",9,8019,2016,"Motorcycle"
"EM",9,0,2016,"Motorcycle"
"ICEM-G",10,11500,2016,"Motorcycle"
"EM",10,0,2016,"Motorcycle"
"ICEM-G",11,4884,2016,"Motorcycle"
"EM",11,0,2016,"Motorcycle"
"ICEM-G",12,5843,2016,"Motorcycle"
"EM",12,0,2016,"Motorcycle"
"ICEM-G",13,8104,2016,"Motorcycle"
"EM",13,0,2016,"Motorcycle"
