"Technology","Age","Value","Year"
"PHEV",18,0,2009
"BEV",18,0,2009
"ICEV-G",19,13,2009
"ICEV-D",19,0,2009
"HEV-G",19,0,2009
"HEV-D",19,0,2009
"CNG",19,0,2009
"PHEV",19,0,2009
"BEV",19,0,2009
"ICEV-G",20,15,2009
"ICEV-D",20,0,2009
"HEV-G",20,0,2009
"HEV-D",20,0,2009
"CNG",20,0,2009
"PHEV",20,0,2009
"BEV",20,0,2009
"ICEV-G",0,1033,2010
"ICEV-D",0,2,2010
"HEV-G",0,16,2010
"HEV-D",0,0,2010
"CNG",0,2,2010
"PHEV",0,0,2010
"BEV",0,0,2010
"ICEV-G",1,1176,2010
"ICEV-D",1,1,2010
"HEV-G",1,14,2010
"HEV-D",1,0,2010
"CNG",1,4,2010
"PHEV",1,0,2010
"BEV",1,0,2010
"ICEV-G",2,2458,2010
"ICEV-D",2,0,2010
"HEV-G",2,22,2010
"HEV-D",2,0,2010
"CNG",2,50,2010
"PHEV",2,0,2010
"BEV",2,0,2010
"ICEV-G",3,3040,2010
"ICEV-D",3,0,2010
"HEV-G",3,16,2010
"HEV-D",3,0,2010
"CNG",3,1,2010
"PHEV",3,0,2010
"BEV",3,0,2010
"ICEV-G",4,2304,2010
"ICEV-D",4,0,2010
"HEV-G",4,1,2010
"HEV-D",4,0,2010
"CNG",4,0,2010
"PHEV",4,0,2010
"BEV",4,0,2010
"ICEV-G",5,1727,2010
"ICEV-D",5,0,2010
"HEV-G",5,5,2010
"HEV-D",5,0,2010
"CNG",5,4,2010
"PHEV",5,0,2010
"BEV",5,0,2010
"ICEV-G",6,733,2010
"ICEV-D",6,0,2010
"HEV-G",6,0,2010
"HEV-D",6,0,2010
"CNG",6,0,2010
"PHEV",6,0,2010
"BEV",6,0,2010
"ICEV-G",7,274,2010
"ICEV-D",7,0,2010
"HEV-G",7,0,2010
"HEV-D",7,0,2010
"CNG",7,0,2010
"PHEV",7,0,2010
"BEV",7,0,2010
"ICEV-G",8,92,2010
"ICEV-D",8,0,2010
"HEV-G",8,0,2010
"HEV-D",8,0,2010
"CNG",8,0,2010
"PHEV",8,0,2010
"BEV",8,0,2010
"ICEV-G",9,74,2010
"ICEV-D",9,0,2010
"HEV-G",9,0,2010
"HEV-D",9,0,2010
"CNG",9,0,2010
"PHEV",9,0,2010
"BEV",9,0,2010
"ICEV-G",10,11,2010
"ICEV-D",10,0,2010
"HEV-G",10,0,2010
"HEV-D",10,0,2010
"CNG",10,0,2010
