"Technology","Age","Value","Year","Mode"
"CNGB",7,0,2010,"School bus"
"EB",7,0,2010,"School bus"
"ICEB-G",8,4,2010,"School bus"
"ICEB-D",8,162,2010,"School bus"
"HEB-G",8,0,2010,"School bus"
"HEB-D",8,0,2010,"School bus"
"CNGB",8,0,2010,"School bus"
"EB",8,0,2010,"School bus"
"ICEB-G",9,7,2010,"School bus"
"ICEB-D",9,213,2010,"School bus"
"HEB-G",9,0,2010,"School bus"
"HEB-D",9,0,2010,"School bus"
"CNGB",9,0,2010,"School bus"
"EB",9,0,2010,"School bus"
"ICEB-G",10,9,2010,"School bus"
"ICEB-D",10,308,2010,"School bus"
"HEB-G",10,0,2010,"School bus"
"HEB-D",10,0,2010,"School bus"
"CNGB",10,0,2010,"School bus"
"EB",10,0,2010,"School bus"
"ICEB-G",11,6,2010,"School bus"
"ICEB-D",11,200,2010,"School bus"
"HEB-G",11,0,2010,"School bus"
"HEB-D",11,0,2010,"School bus"
"CNGB",11,0,2010,"School bus"
"EB",11,0,2010,"School bus"
"ICEB-G",12,6,2010,"School bus"
"ICEB-D",12,197,2010,"School bus"
"HEB-G",12,0,2010,"School bus"
"HEB-D",12,0,2010,"School bus"
