"Technology","Age","Value","Year","Mode"
"EB",19,0,2009,"Private bus"
"ICEB-G",20,0,2009,"Private bus"
"ICEB-D",20,13,2009,"Private bus"
"HEB-G",20,0,2009,"Private bus"
"HEB-D",20,0,2009,"Private bus"
"CNGB",20,0,2009,"Private bus"
"EB",20,0,2009,"Private bus"
"ICEB-G",0,0,2010,"Private bus"
"ICEB-D",0,332,2010,"Private bus"
"HEB-G",0,0,2010,"Private bus"
"HEB-D",0,1,2010,"Private bus"
"CNGB",0,6,2010,"Private bus"
"EB",0,0,2010,"Private bus"
"ICEB-G",1,0,2010,"Private bus"
"ICEB-D",1,399,2010,"Private bus"
"HEB-G",1,0,2010,"Private bus"
"HEB-D",1,0,2010,"Private bus"
"CNGB",1,7,2010,"Private bus"
"EB",1,0,2010,"Private bus"
"ICEB-G",2,0,2010,"Private bus"
"ICEB-D",2,630,2010,"Private bus"
"HEB-G",2,0,2010,"Private bus"
"HEB-D",2,0,2010,"Private bus"
"CNGB",2,0,2010,"Private bus"
"EB",2,0,2010,"Private bus"
"ICEB-G",3,0,2010,"Private bus"
"ICEB-D",3,413,2010,"Private bus"
"HEB-G",3,0,2010,"Private bus"
"HEB-D",3,0,2010,"Private bus"
"CNGB",3,0,2010,"Private bus"
"EB",3,0,2010,"Private bus"
"ICEB-G",4,2,2010,"Private bus"
"ICEB-D",4,275,2010,"Private bus"
"HEB-G",4,0,2010,"Private bus"
"HEB-D",4,0,2010,"Private bus"
"CNGB",4,0,2010,"Private bus"
"EB",4,0,2010,"Private bus"
"ICEB-G",5,91,2010,"Private bus"
"ICEB-D",5,147,2010,"Private bus"
"HEB-G",5,0,2010,"Private bus"
"HEB-D",5,0,2010,"Private bus"
"CNGB",5,5,2010,"Private bus"
"EB",5,0,2010,"Private bus"
"ICEB-G",6,0,2010,"Private bus"
"ICEB-D",6,289,2010,"Private bus"
"HEB-G",6,0,2010,"Private bus"
"HEB-D",6,0,2010,"Private bus"
"CNGB",6,0,2010,"Private bus"
"EB",6,0,2010,"Private bus"
