"Make","Model","Body","Enginee_cc","MPO_kw","Fuel","Transmission","Turbo_supercharged","Hybrid","fe_urban","fe_xtra_urban","fe_combined","co2_urban","co2_xtra_urban","co2_combined","ves_band"
"AUDI","Q7 2.0 TFSI QU (252","Sports Utility Vehicle",1984,185,"Petrol","Automatic","YES","NO","8.9","6.6",7.4,"202","150",172,"C1"
"AUDI","Q7 2.0 TFSI QU (252","Sports Utility Vehicle",1984,185,"Petrol","Automatic","YES","NO","8.9","6.6",7.4,"202","150",172,"C1"
"AUDI","Q7 2.0 TFSI QU","Sports Utility Vehicle",1984,185,"Petrol","Automatic","YES","NO","8.9","6.6",7.4,"202","150",172,"C1"
"AUDI","Q7 2.0 TFSI QU","Sports Utility Vehicle",1984,185,"Petrol","Automatic","YES","NO","9.3000000000000007","7.2",8,"211","164",188,"C2"
"AUDI","Q7 3.0 TFSI QU (333","Sports Utility Vehicle",2995,245,"Petrol","Automatic","YES","NO","9.6","6.9",7.9,"222","160",183,"C2"
"AUDI","Q7 3.0 TFSI QU (333","Sports Utility Vehicle",2995,245,"Petrol","Automatic","YES","NO","9.6","6.9",7.9,"222","160",183,"C2"
"AUDI","Q7 3.0 TFSI QU (333","Sports Utility Vehicle",2995,245,"Petrol","Automatic","YES","NO","9.6","6.9",7.9,"222","160",183,"C2"
"AUDI","Q7 3.0 TFSI QU (333","Sports Utility Vehicle",2995,245,"Petrol","Automatic","YES","NO","10","7.3",8.3,"231","170",193,"C2"
"AUDI","Q7 3.0 TFSI QU","Sports Utility Vehicle",2995,245,"Petrol","Automatic","YES","NO","10","7.3",8.3,"231","170",193,"C2"
"AUDI","Q8 3.0 TFSI QU TIP","Sports Utility Vehicle",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","7.7",8.9,"248","176",203,"C2"
"AUDI","Q8 3.0 TFSI QU TIP","Sports Utility Vehicle",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","7.7",8.9,"248","176",203,"C2"
"AUDI","Q8 3.0 TFSI QU TIP","Sports Utility Vehicle",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","7.7",8.9,"248","176",203,"C2"
"AUDI","Q8 3.0 TFSI QU TIP","Sports Utility Vehicle",2995,250,"Petrol-Electric","Automatic","YES","YES","11.1","8",9.2,"254","184",210,"C2"
"AUDI","Q8 3.0 TFSI QU TIP","Sports Utility Vehicle",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","7.7",8.9,"248","176",203,"C2"
"AUDI","Q8 3.0 TFSI QU TIP","Sports Utility Vehicle",2995,250,"Petrol-Electric","Automatic","YES","YES","11.1","8",9.2,"254","184",210,"C2"
"AUDI","Q8 3.0 TFSI QU TIP","Sports Utility Vehicle",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","7.7",8.9,"248","176",203,"C2"
"AUDI","RS3 SB 2.5 TFSI QU S","Hatchback",2480,294,"Petrol","Sequential","YES","NO","11.4","6.7",8.4,"260","151",191,"C2"
"AUDI","RS3 SEDAN 2.5 TFSI","Sedan",2480,294,"Petrol","Sequential","YES","NO","11.4","6.6",8.4,"260","150",190,"C2"
"AUDI","RS3 SEDAN 2.5 TFSI","Sedan",2480,294,"Petrol","Sequential","YES","NO","11.5","6.7",8.5,"262","154",193,"C2"
"AUDI","RS4 AVANT 2.9 TFSI","Multi-purpose Vehicle/Station-wagon",2894,331,"Petrol","Automatic","YES","NO","11.7","7.3",8.9,"265","166",202,"C2"
"AUDI","RS4 AVANT 2.9 TFSI","Multi-purpose Vehicle/Station-wagon",2894,331,"Petrol","Automatic","YES","NO","11.7","7.3",8.9,"265","166",202,"C2"
"AUDI","RS4 AVANT 2.9 TFSI","Multi-purpose Vehicle/Station-wagon",2894,331,"Petrol","Automatic","YES","NO","11.7","7.3",8.9,"265","166",202,"C2"
"AUDI","RS5 COUPE 2.9 TFSI","Coupe/ Convertible",2894,331,"Petrol","Automatic","YES","NO","11.6","7.2",8.8,"264","162",199,"C2"
"AUDI","RS5 COUPE 2.9 TFSI","Coupe/ Convertible",2894,331,"Petrol","Automatic","YES","NO","11.6","7.2",8.8,"264","162",199,"C2"
"AUDI","RS5 COUPE 2.9 TFSI","Coupe/ Convertible",2894,331,"Petrol","Automatic","YES","NO","11.6","7.2",8.8,"264","162",199,"C2"
"AUDI","RS5 SB 2.9 TFSI QU","Hatchback",2894,331,"Petrol","Automatic","YES","NO","11.7","7.3",8.9,"267","165",202,"C2"
"AUDI","RS5 SB 2.9 TFSI QU","Hatchback",2894,331,"Petrol","Automatic","YES","NO","11.7","7.3",8.9,"267","165",202,"C2"
"AUDI","RS5 SB 2.9 TFSI QU","Hatchback",2894,331,"Petrol","Automatic","YES","NO","11.7","7.3",8.9,"267","165",202,"C2"
"AUDI","RS6 AVANT 4.0 TFSI","Multi-purpose Vehicle/Station-wagon",3993,412,"Petrol","Automatic","YES","NO","13.4","7.4",9.6,"310","173",223,"C2"
"AUDI","R8 SPYDER 5.2 FSI","Coupe/ Convertible",5204,397,"Petrol","Sequential","NO","NO","17","8.6999999999999993",11.7,"400","204",277,"C2"
"AUDI","R8 5.2 FSI QUATTRO S","Coupe/ Convertible",5204,397,"Petrol","Sequential","NO","NO","16.7","8.4",11.4,"394","200",272,"C2"
"AUDI","SQ5 3.0 TFSI QU","Sports Utility Vehicle",2995,260,"Petrol","Automatic","YES","NO","11.2","7.3",8.7,"257","168",200,"C2"
"AUDI","SQ5 3.0 TFSI QU","Sports Utility Vehicle",2995,260,"Petrol","Automatic","YES","NO","11.2","7.3",8.7,"257","168",200,"C2"
"AUDI","SQ5 3.0 TFSI QU","Sports Utility Vehicle",2995,260,"Petrol","Automatic","YES","NO","11.5","7.4",8.9,"262","170",204,"C2"
"AUDI","S3 SEDAN 2.0 TFSI QU","Sedan",1984,213,"Petrol","Sequential","YES","NO","8.3000000000000007","5.5",6.5,"191","128",151,"C2"
"AUDI","S3 SEDAN 2.0 TFSI QU","Sedan",1984,213,"Petrol","Sequential","YES","NO","8.3000000000000007","5.5",6.5,"191","128",151,"C2"
"AUDI","S3 SEDAN 2.0 TFSI QU","Sedan",1984,213,"Petrol","Sequential","YES","NO","8.3000000000000007","5.5",6.5,"191","128",151,"C2"
