"Technology","Age","Value","Year","Mode","Scenario"
"CNGB",0,0,2049,"School bus","Default"
"EB",0,4,2049,"School bus","Default"
"ICEB-D",0,709,2050,"School bus","Default"
"HEB-D",0,17,2050,"School bus","Default"
"CNGB",0,0,2050,"School bus","Default"
"EB",0,4,2050,"School bus","Default"
"ICEB-D",0,227,2005,"Public bus","Default"
"HEB-D",0,0,2005,"Public bus","Default"
"CNGB",0,0,2005,"Public bus","Default"
"EB",0,0,2005,"Public bus","Default"
"ICEB-D",0,307,2006,"Public bus","Default"
"HEB-D",0,0,2006,"Public bus","Default"
"CNGB",0,4,2006,"Public bus","Default"
"EB",0,0,2006,"Public bus","Default"
"ICEB-D",0,148,2007,"Public bus","Default"
"HEB-D",0,0,2007,"Public bus","Default"
"CNGB",0,0,2007,"Public bus","Default"
"EB",0,0,2007,"Public bus","Default"
"ICEB-D",0,315,2008,"Public bus","Default"
"HEB-D",0,0,2008,"Public bus","Default"
"CNGB",0,0,2008,"Public bus","Default"
"EB",0,0,2008,"Public bus","Default"
"ICEB-D",0,398,2009,"Public bus","Default"
"HEB-D",0,0,2009,"Public bus","Default"
"CNGB",0,5,2009,"Public bus","Default"
"EB",0,0,2009,"Public bus","Default"
"ICEB-D",0,179,2010,"Public bus","Default"
"HEB-D",0,1,2010,"Public bus","Default"
"CNGB",0,4,2010,"Public bus","Default"
"EB",0,0,2010,"Public bus","Default"
"ICEB-D",0,392,2011,"Public bus","Default"
"HEB-D",0,0,2011,"Public bus","Default"
"CNGB",0,0,2011,"Public bus","Default"
"EB",0,0,2011,"Public bus","Default"
"ICEB-D",0,393,2012,"Public bus","Default"
"HEB-D",0,0,2012,"Public bus","Default"
"CNGB",0,0,2012,"Public bus","Default"
"EB",0,0,2012,"Public bus","Default"
"ICEB-D",0,676,2013,"Public bus","Default"
"HEB-D",0,0,2013,"Public bus","Default"
"CNGB",0,0,2013,"Public bus","Default"
"EB",0,0,2013,"Public bus","Default"
"ICEB-D",0,677,2014,"Public bus","Default"
"HEB-D",0,0,2014,"Public bus","Default"
"CNGB",0,0,2014,"Public bus","Default"
"EB",0,0,2014,"Public bus","Default"
"ICEB-D",0,697,2015,"Public bus","Default"
"HEB-D",0,0,2015,"Public bus","Default"
"CNGB",0,0,2015,"Public bus","Default"
"EB",0,0,2015,"Public bus","Default"
"ICEB-D",0,725,2016,"Public bus","Default"
"HEB-D",0,0,2016,"Public bus","Default"
"CNGB",0,1,2016,"Public bus","Default"
"EB",0,0,2016,"Public bus","Default"
"ICEB-D",0,536,2017,"Public bus","Default"
"HEB-D",0,0,2017,"Public bus","Default"
"CNGB",0,0,2017,"Public bus","Default"
"EB",0,1,2017,"Public bus","Default"
"ICEB-D",0,285,2018,"Public bus","Default"
"HEB-D",0,7,2018,"Public bus","Default"
"CNGB",0,0,2018,"Public bus","Default"
"EB",0,0,2018,"Public bus","Default"
"ICEB-D",0,187,2019,"Public bus","Default"
"HEB-D",0,8,2019,"Public bus","Default"
"CNGB",0,0,2019,"Public bus","Default"
"EB",0,2,2019,"Public bus","Default"
"ICEB-D",0,0,2020,"Public bus","Default"
"HEB-D",0,0,2020,"Public bus","Default"
"CNGB",0,0,2020,"Public bus","Default"
"EB",0,0,2020,"Public bus","Default"
"ICEB-D",0,292,2021,"Public bus","Default"
"HEB-D",0,12,2021,"Public bus","Default"
"CNGB",0,0,2021,"Public bus","Default"
"EB",0,3,2021,"Public bus","Default"
"ICEB-D",0,301,2022,"Public bus","Default"
"HEB-D",0,13,2022,"Public bus","Default"
"CNGB",0,0,2022,"Public bus","Default"
"EB",0,3,2022,"Public bus","Default"
"ICEB-D",0,347,2023,"Public bus","Default"
"HEB-D",0,15,2023,"Public bus","Default"
"CNGB",0,0,2023,"Public bus","Default"
"EB",0,4,2023,"Public bus","Default"
"ICEB-D",0,348,2024,"Public bus","Default"
"HEB-D",0,15,2024,"Public bus","Default"
"CNGB",0,0,2024,"Public bus","Default"
"EB",0,4,2024,"Public bus","Default"
"ICEB-D",0,398,2025,"Public bus","Default"
"HEB-D",0,17,2025,"Public bus","Default"
"CNGB",0,0,2025,"Public bus","Default"
"EB",0,4,2025,"Public bus","Default"
"ICEB-D",0,422,2026,"Public bus","Default"
"HEB-D",0,18,2026,"Public bus","Default"
"CNGB",0,0,2026,"Public bus","Default"
"EB",0,5,2026,"Public bus","Default"
"ICEB-D",0,420,2027,"Public bus","Default"
"HEB-D",0,18,2027,"Public bus","Default"
"CNGB",0,0,2027,"Public bus","Default"
"EB",0,4,2027,"Public bus","Default"
"ICEB-D",0,443,2028,"Public bus","Default"
"HEB-D",0,19,2028,"Public bus","Default"
"CNGB",0,0,2028,"Public bus","Default"
"EB",0,5,2028,"Public bus","Default"
"ICEB-D",0,432,2029,"Public bus","Default"
"HEB-D",0,18,2029,"Public bus","Default"
"CNGB",0,0,2029,"Public bus","Default"
"EB",0,5,2029,"Public bus","Default"
"ICEB-D",0,471,2030,"Public bus","Default"
"HEB-D",0,20,2030,"Public bus","Default"
"CNGB",0,0,2030,"Public bus","Default"
"EB",0,5,2030,"Public bus","Default"
"ICEB-D",0,492,2031,"Public bus","Default"
"HEB-D",0,21,2031,"Public bus","Default"
"CNGB",0,0,2031,"Public bus","Default"
"EB",0,5,2031,"Public bus","Default"
"ICEB-D",0,501,2032,"Public bus","Default"
"HEB-D",0,21,2032,"Public bus","Default"
"CNGB",0,0,2032,"Public bus","Default"
"EB",0,5,2032,"Public bus","Default"
"ICEB-D",0,491,2033,"Public bus","Default"
"HEB-D",0,21,2033,"Public bus","Default"
"CNGB",0,0,2033,"Public bus","Default"
"EB",0,5,2033,"Public bus","Default"
"ICEB-D",0,446,2034,"Public bus","Default"
"HEB-D",0,19,2034,"Public bus","Default"
"CNGB",0,0,2034,"Public bus","Default"
"EB",0,5,2034,"Public bus","Default"
"ICEB-D",0,397,2035,"Public bus","Default"
"HEB-D",0,17,2035,"Public bus","Default"
"CNGB",0,0,2035,"Public bus","Default"
"EB",0,4,2035,"Public bus","Default"
"ICEB-D",0,352,2036,"Public bus","Default"
"HEB-D",0,15,2036,"Public bus","Default"
"CNGB",0,0,2036,"Public bus","Default"
"EB",0,4,2036,"Public bus","Default"
"ICEB-D",0,298,2037,"Public bus","Default"
"HEB-D",0,13,2037,"Public bus","Default"
"CNGB",0,0,2037,"Public bus","Default"
"EB",0,3,2037,"Public bus","Default"
"ICEB-D",0,315,2038,"Public bus","Default"
"HEB-D",0,13,2038,"Public bus","Default"
"CNGB",0,0,2038,"Public bus","Default"
"EB",0,3,2038,"Public bus","Default"
"ICEB-D",0,315,2039,"Public bus","Default"
"HEB-D",0,13,2039,"Public bus","Default"
"CNGB",0,0,2039,"Public bus","Default"
"EB",0,3,2039,"Public bus","Default"
"ICEB-D",0,360,2040,"Public bus","Default"
"HEB-D",0,15,2040,"Public bus","Default"
"CNGB",0,0,2040,"Public bus","Default"
"EB",0,4,2040,"Public bus","Default"
"ICEB-D",0,380,2041,"Public bus","Default"
"HEB-D",0,16,2041,"Public bus","Default"
"CNGB",0,0,2041,"Public bus","Default"
"EB",0,4,2041,"Public bus","Default"
"ICEB-D",0,411,2042,"Public bus","Default"
"HEB-D",0,18,2042,"Public bus","Default"
"CNGB",0,0,2042,"Public bus","Default"
"EB",0,4,2042,"Public bus","Default"
"ICEB-D",0,421,2043,"Public bus","Default"
"HEB-D",0,18,2043,"Public bus","Default"
"CNGB",0,0,2043,"Public bus","Default"
"EB",0,5,2043,"Public bus","Default"
"ICEB-D",0,428,2044,"Public bus","Default"
"HEB-D",0,18,2044,"Public bus","Default"
"CNGB",0,0,2044,"Public bus","Default"
"EB",0,5,2044,"Public bus","Default"
"ICEB-D",0,428,2045,"Public bus","Default"
"HEB-D",0,18,2045,"Public bus","Default"
"CNGB",0,0,2045,"Public bus","Default"
"EB",0,5,2045,"Public bus","Default"
"ICEB-D",0,428,2046,"Public bus","Default"
"HEB-D",0,18,2046,"Public bus","Default"
"CNGB",0,0,2046,"Public bus","Default"
"EB",0,5,2046,"Public bus","Default"
"ICEB-D",0,426,2047,"Public bus","Default"
"HEB-D",0,18,2047,"Public bus","Default"
"CNGB",0,0,2047,"Public bus","Default"
"EB",0,5,2047,"Public bus","Default"
"ICEB-D",0,426,2048,"Public bus","Default"
"HEB-D",0,18,2048,"Public bus","Default"
"CNGB",0,0,2048,"Public bus","Default"
"EB",0,5,2048,"Public bus","Default"
"ICEB-D",0,420,2049,"Public bus","Default"
"HEB-D",0,18,2049,"Public bus","Default"
"CNGB",0,0,2049,"Public bus","Default"
"EB",0,4,2049,"Public bus","Default"
"ICEB-D",0,417,2050,"Public bus","Default"
"HEB-D",0,18,2050,"Public bus","Default"
"CNGB",0,0,2050,"Public bus","Default"
"EB",0,4,2050,"Public bus","Default"
"ICEM-G",0,12121,2005,"Motorcycle","Default"
"EM",0,1,2005,"Motorcycle","Default"
"ICEM-G",0,24433,2006,"Motorcycle","Default"
"EM",0,0,2006,"Motorcycle","Default"
"ICEM-G",0,9393,2007,"Motorcycle","Default"
"EM",0,0,2007,"Motorcycle","Default"
"ICEM-G",0,10122,2008,"Motorcycle","Default"
"EM",0,0,2008,"Motorcycle","Default"
"ICEM-G",0,8681,2009,"Motorcycle","Default"
"EM",0,4,2009,"Motorcycle","Default"
"ICEM-G",0,8402,2010,"Motorcycle","Default"
"EM",0,3,2010,"Motorcycle","Default"
"ICEM-G",0,7468,2011,"Motorcycle","Default"
"EM",0,1,2011,"Motorcycle","Default"
"ICEM-G",0,7959,2012,"Motorcycle","Default"
"EM",0,0,2012,"Motorcycle","Default"
"ICEM-G",0,10977,2013,"Motorcycle","Default"
"EM",0,0,2013,"Motorcycle","Default"
"ICEM-G",0,8530,2014,"Motorcycle","Default"
"EM",0,0,2014,"Motorcycle","Default"
"ICEM-G",0,8422,2015,"Motorcycle","Default"
"EM",0,0,2015,"Motorcycle","Default"
"ICEM-G",0,12580,2016,"Motorcycle","Default"
"EM",0,0,2016,"Motorcycle","Default"
"ICEM-G",0,9004,2017,"Motorcycle","Default"
"EM",0,0,2017,"Motorcycle","Default"
"ICEM-G",0,5707,2018,"Motorcycle","Default"
"EM",0,0,2018,"Motorcycle","Default"
"ICEM-G",0,21279,2019,"Motorcycle","Default"
"EM",0,0,2019,"Motorcycle","Default"
"ICEM-G",0,13783,2020,"Motorcycle","Default"
"EM",0,0,2020,"Motorcycle","Default"
"ICEM-G",0,14025,2021,"Motorcycle","Default"
"EM",0,0,2021,"Motorcycle","Default"
"ICEM-G",0,11948,2022,"Motorcycle","Default"
"EM",0,0,2022,"Motorcycle","Default"
"ICEM-G",0,12386,2023,"Motorcycle","Default"
"EM",0,0,2023,"Motorcycle","Default"
"ICEM-G",0,11177,2024,"Motorcycle","Default"
"EM",0,0,2024,"Motorcycle","Default"
"ICEM-G",0,10652,2025,"Motorcycle","Default"
"EM",0,0,2025,"Motorcycle","Default"
"ICEM-G",0,11318,2026,"Motorcycle","Default"
"EM",0,0,2026,"Motorcycle","Default"
"ICEM-G",0,10458,2027,"Motorcycle","Default"
"EM",0,0,2027,"Motorcycle","Default"
"ICEM-G",0,10059,2028,"Motorcycle","Default"
"EM",0,0,2028,"Motorcycle","Default"
"ICEM-G",0,14128,2029,"Motorcycle","Default"
"EM",0,0,2029,"Motorcycle","Default"
"ICEM-G",0,12037,2030,"Motorcycle","Default"
"EM",0,0,2030,"Motorcycle","Default"
"ICEM-G",0,12593,2031,"Motorcycle","Default"
"EM",0,0,2031,"Motorcycle","Default"
"ICEM-G",0,11538,2032,"Motorcycle","Default"
"EM",0,0,2032,"Motorcycle","Default"
"ICEM-G",0,11583,2033,"Motorcycle","Default"
"EM",0,0,2033,"Motorcycle","Default"
"ICEM-G",0,13284,2034,"Motorcycle","Default"
"EM",0,0,2034,"Motorcycle","Default"
"ICEM-G",0,11996,2035,"Motorcycle","Default"
"EM",0,0,2035,"Motorcycle","Default"
"ICEM-G",0,12245,2036,"Motorcycle","Default"
"EM",0,0,2036,"Motorcycle","Default"
"ICEM-G",0,11902,2037,"Motorcycle","Default"
"EM",0,0,2037,"Motorcycle","Default"
"ICEM-G",0,12076,2038,"Motorcycle","Default"
"EM",0,0,2038,"Motorcycle","Default"
"ICEM-G",0,12852,2039,"Motorcycle","Default"
"EM",0,0,2039,"Motorcycle","Default"
"ICEM-G",0,12336,2040,"Motorcycle","Default"
"EM",0,0,2040,"Motorcycle","Default"
"ICEM-G",0,12154,2041,"Motorcycle","Default"
"EM",0,0,2041,"Motorcycle","Default"
"ICEM-G",0,11609,2042,"Motorcycle","Default"
"EM",0,0,2042,"Motorcycle","Default"
"ICEM-G",0,11572,2043,"Motorcycle","Default"
"EM",0,0,2043,"Motorcycle","Default"
"ICEM-G",0,12508,2044,"Motorcycle","Default"
"EM",0,0,2044,"Motorcycle","Default"
"ICEM-G",0,11781,2045,"Motorcycle","Default"
"EM",0,0,2045,"Motorcycle","Default"
"ICEM-G",0,11918,2046,"Motorcycle","Default"
"EM",0,0,2046,"Motorcycle","Default"
"ICEM-G",0,11739,2047,"Motorcycle","Default"
"EM",0,0,2047,"Motorcycle","Default"
"ICEM-G",0,11905,2048,"Motorcycle","Default"
"EM",0,0,2048,"Motorcycle","Default"
"ICEM-G",0,12288,2049,"Motorcycle","Default"
"EM",0,0,2049,"Motorcycle","Default"
"ICEM-G",0,11984,2050,"Motorcycle","Default"
"EM",0,0,2050,"Motorcycle","Default"
