"Technology","Year","Value","Mode","Scenario"
"ICEV/B-G",2024,10,"Taxi","Private Car ubiquity"
"ICEV/B-D",2024,4039,"Taxi","Private Car ubiquity"
"HEV/B-G",2024,12268,"Taxi","Private Car ubiquity"
"CNGV/B",2024,0,"Taxi","Private Car ubiquity"
"PHEV",2024,0,"Taxi","Private Car ubiquity"
"EV/B",2024,1835,"Taxi","Private Car ubiquity"
"ICEV/B-G",2025,8,"Taxi","Private Car ubiquity"
"ICEV/B-D",2025,2941,"Taxi","Private Car ubiquity"
"HEV/B-G",2025,12390,"Taxi","Private Car ubiquity"
"CNGV/B",2025,0,"Taxi","Private Car ubiquity"
"PHEV",2025,0,"Taxi","Private Car ubiquity"
"EV/B",2025,2716,"Taxi","Private Car ubiquity"
"ICEV/B-G",2026,5,"Taxi","Private Car ubiquity"
"ICEV/B-D",2026,2019,"Taxi","Private Car ubiquity"
"HEV/B-G",2026,12209,"Taxi","Private Car ubiquity"
"CNGV/B",2026,0,"Taxi","Private Car ubiquity"
"PHEV",2026,0,"Taxi","Private Car ubiquity"
"EV/B",2026,3714,"Taxi","Private Car ubiquity"
"ICEV/B-G",2027,2,"Taxi","Private Car ubiquity"
"ICEV/B-D",2027,1622,"Taxi","Private Car ubiquity"
"HEV/B-G",2027,11242,"Taxi","Private Car ubiquity"
"CNGV/B",2027,0,"Taxi","Private Car ubiquity"
"PHEV",2027,0,"Taxi","Private Car ubiquity"
"EV/B",2027,4965,"Taxi","Private Car ubiquity"
"ICEV/B-G",2028,1,"Taxi","Private Car ubiquity"
"ICEV/B-D",2028,1249,"Taxi","Private Car ubiquity"
"HEV/B-G",2028,10468,"Taxi","Private Car ubiquity"
"CNGV/B",2028,0,"Taxi","Private Car ubiquity"
"PHEV",2028,0,"Taxi","Private Car ubiquity"
"EV/B",2028,5988,"Taxi","Private Car ubiquity"
"ICEV/B-G",2029,1,"Taxi","Private Car ubiquity"
"ICEV/B-D",2029,912,"Taxi","Private Car ubiquity"
"HEV/B-G",2029,8890,"Taxi","Private Car ubiquity"
"CNGV/B",2029,0,"Taxi","Private Car ubiquity"
"PHEV",2029,0,"Taxi","Private Car ubiquity"
"EV/B",2029,7769,"Taxi","Private Car ubiquity"
"ICEV/B-G",2030,1,"Taxi","Private Car ubiquity"
"ICEV/B-D",2030,613,"Taxi","Private Car ubiquity"
"HEV/B-G",2030,7738,"Taxi","Private Car ubiquity"
"CNGV/B",2030,0,"Taxi","Private Car ubiquity"
"PHEV",2030,0,"Taxi","Private Car ubiquity"
"EV/B",2030,9077,"Taxi","Private Car ubiquity"
"ICEV/B-G",2031,1,"Taxi","Private Car ubiquity"
"ICEV/B-D",2031,413,"Taxi","Private Car ubiquity"
"HEV/B-G",2031,6588,"Taxi","Private Car ubiquity"
"CNGV/B",2031,0,"Taxi","Private Car ubiquity"
"PHEV",2031,0,"Taxi","Private Car ubiquity"
"EV/B",2031,10510,"Taxi","Private Car ubiquity"
"ICEV/B-G",2032,1,"Taxi","Private Car ubiquity"
"ICEV/B-D",2032,324,"Taxi","Private Car ubiquity"
"HEV/B-G",2032,5419,"Taxi","Private Car ubiquity"
"CNGV/B",2032,0,"Taxi","Private Car ubiquity"
"PHEV",2032,0,"Taxi","Private Car ubiquity"
"EV/B",2032,11844,"Taxi","Private Car ubiquity"
"ICEV/B-G",2033,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2033,249,"Taxi","Private Car ubiquity"
"HEV/B-G",2033,4454,"Taxi","Private Car ubiquity"
"CNGV/B",2033,0,"Taxi","Private Car ubiquity"
"PHEV",2033,0,"Taxi","Private Car ubiquity"
"EV/B",2033,12954,"Taxi","Private Car ubiquity"
"ICEV/B-G",2034,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2034,186,"Taxi","Private Car ubiquity"
"HEV/B-G",2034,3492,"Taxi","Private Car ubiquity"
"CNGV/B",2034,0,"Taxi","Private Car ubiquity"
"PHEV",2034,0,"Taxi","Private Car ubiquity"
"EV/B",2034,14041,"Taxi","Private Car ubiquity"
"ICEV/B-G",2035,0,"Taxi","Private Car ubiquity"
"ICEV/B-D",2035,125,"Taxi","Private Car ubiquity"
"HEV/B-G",2035,2769,"Taxi","Private Car ubiquity"
