"Fuel","Year","Value","Mode","Unit"
"Diesel",2013,114652475.868,"Private bus","L or kWh"
"CNG",2013,230364.96,"Private bus","L or kWh"
"Electricity",2013,0,"Private bus","L or kWh"
"Diesel",2014,107951832.192,"Private bus","L or kWh"
"CNG",2014,241927.68,"Private bus","L or kWh"
"Electricity",2014,0,"Private bus","L or kWh"
"Diesel",2015,80247379.926,"Private bus","L or kWh"
"CNG",2015,96281.88,"Private bus","L or kWh"
"Electricity",2015,0,"Private bus","L or kWh"
"Diesel",2016,72322849.392,"Private bus","L or kWh"
"CNG",2016,94280.64,"Private bus","L or kWh"
"Electricity",2016,0,"Private bus","L or kWh"
"Diesel",2017,65259722.28,"Private bus","L or kWh"
"CNG",2017,95614.8,"Private bus","L or kWh"
"Electricity",2017,0,"Private bus","L or kWh"
"Diesel",2018,61241124.456,"Private bus","L or kWh"
"CNG",2018,95837.16,"Private bus","L or kWh"
"Electricity",2018,72839,"Private bus","L or kWh"
"Diesel",2019,60212563.644,"Private bus","L or kWh"
"CNG",2019,0,"Private bus","L or kWh"
"Electricity",2019,145678,"Private bus","L or kWh"
"Diesel",2005,73747950.8895,"School bus","L or kWh"
"CNG",2005,0,"School bus","L or kWh"
"Electricity",2005,0,"School bus","L or kWh"
"Diesel",2006,77842407.792,"School bus","L or kWh"
"CNG",2006,134601.92,"School bus","L or kWh"
"Electricity",2006,0,"School bus","L or kWh"
"Diesel",2007,83376733.752,"School bus","L or kWh"
"CNG",2007,138752.64,"School bus","L or kWh"
"Electricity",2007,0,"School bus","L or kWh"
"Diesel",2008,85233912.72,"School bus","L or kWh"
"CNG",2008,130451.2,"School bus","L or kWh"
"Electricity",2008,0,"School bus","L or kWh"
"Diesel",2009,99270698.796,"School bus","L or kWh"
"CNG",2009,351328.8,"School bus","L or kWh"
"Electricity",2009,0,"School bus","L or kWh"
"Diesel",2010,108504951.456,"School bus","L or kWh"
"CNG",2010,538111.2,"School bus","L or kWh"
"Electricity",2010,0,"School bus","L or kWh"
"Diesel",2011,122778009,"School bus","L or kWh"
"CNG",2011,296480,"School bus","L or kWh"
"Electricity",2011,0,"School bus","L or kWh"
"Diesel",2012,141872017.662,"School bus","L or kWh"
"CNG",2012,362224.44,"School bus","L or kWh"
"Electricity",2012,0,"School bus","L or kWh"
"Diesel",2013,151415029.146,"School bus","L or kWh"
"CNG",2013,360890.28,"School bus","L or kWh"
"Electricity",2013,0,"School bus","L or kWh"
"Diesel",2014,158277750.588,"School bus","L or kWh"
"CNG",2014,277060.56,"School bus","L or kWh"
"Electricity",2014,0,"School bus","L or kWh"
"Diesel",2015,166873463.676,"School bus","L or kWh"
"CNG",2015,270315.64,"School bus","L or kWh"
"Electricity",2015,0,"School bus","L or kWh"
"Diesel",2016,170447300.868,"School bus","L or kWh"
"CNG",2016,256306.96,"School bus","L or kWh"
"Electricity",2016,0,"School bus","L or kWh"
"Diesel",2017,196535854.176,"School bus","L or kWh"
"CNG",2017,271872.16,"School bus","L or kWh"
"Electricity",2017,88556,"School bus","L or kWh"
"Diesel",2018,172718676.48,"School bus","L or kWh"
"CNG",2018,232440.32,"School bus","L or kWh"
"Electricity",2018,151424,"School bus","L or kWh"
"Diesel",2019,179069933.952,"School bus","L or kWh"
"CNG",2019,0,"School bus","L or kWh"
"Electricity",2019,378560,"School bus","L or kWh"
"Diesel",2005,129618854.264031,"Public bus","L or kWh"
"CNG",2005,0,"Public bus","L or kWh"
"Electricity",2005,0,"Public bus","L or kWh"
"Diesel",2006,131185689.69959,"Public bus","L or kWh"
"CNG",2006,238322.334372523,"Public bus","L or kWh"
"Electricity",2006,0,"Public bus","L or kWh"
"Diesel",2007,134652648.020267,"Public bus","L or kWh"
"CNG",2007,182300.938468492,"Public bus","L or kWh"
"Electricity",2007,0,"Public bus","L or kWh"
"Diesel",2008,132025475.959277,"Public bus","L or kWh"
"CNG",2008,174235.099460301,"Public bus","L or kWh"
"Electricity",2008,0,"Public bus","L or kWh"
"Diesel",2009,135349929.963828,"Public bus","L or kWh"
"CNG",2009,454788.372845488,"Public bus","L or kWh"
"Electricity",2009,0,"Public bus","L or kWh"
"Diesel",2010,134129534.922098,"Public bus","L or kWh"
"CNG",2010,685233.926179352,"Public bus","L or kWh"
"Electricity",2010,0,"Public bus","L or kWh"
"Diesel",2011,131216117.74424,"Public bus","L or kWh"
"CNG",2011,323406.370199416,"Public bus","L or kWh"
"Electricity",2011,0,"Public bus","L or kWh"
"Diesel",2012,130755640.642067,"Public bus","L or kWh"
"CNG",2012,315265.381410256,"Public bus","L or kWh"
"Electricity",2012,0,"Public bus","L or kWh"
"Diesel",2013,137524579.416105,"Public bus","L or kWh"
"CNG",2013,305669.9193058,"Public bus","L or kWh"
"Electricity",2013,0,"Public bus","L or kWh"
"Diesel",2014,144275864.414894,"Public bus","L or kWh"
"CNG",2014,307961.984369218,"Public bus","L or kWh"
"Electricity",2014,0,"Public bus","L or kWh"
"Diesel",2015,144283628.67108,"Public bus","L or kWh"
"CNG",2015,191946.0856953,"Public bus","L or kWh"
"Electricity",2015,0,"Public bus","L or kWh"
"Diesel",2016,145892957.740543,"Public bus","L or kWh"
"CNG",2016,227350.88952494,"Public bus","L or kWh"
"Electricity",2016,0,"Public bus","L or kWh"
"Diesel",2017,146102058.377075,"Public bus","L or kWh"
"CNG",2017,220249.547579942,"Public bus","L or kWh"
"Electricity",2017,100437.597250432,"Public bus","L or kWh"
"Diesel",2018,148078121.436304,"Public bus","L or kWh"
"CNG",2018,220663.025321429,"Public bus","L or kWh"
"Electricity",2018,100626.150241018,"Public bus","L or kWh"
"Diesel",2019,145673250.032158,"Public bus","L or kWh"
"CNG",2019,0,"Public bus","L or kWh"
"Electricity",2019,297398.930816369,"Public bus","L or kWh"
"Gasoline",2005,46174042.4751,"Motorcycle","L or kWh"
"Electricity",2005,383.908,"Motorcycle","L or kWh"
"Gasoline",2006,47233270.8,"Motorcycle","L or kWh"
"Electricity",2006,383.6,"Motorcycle","L or kWh"
"Gasoline",2007,48115253.88,"Motorcycle","L or kWh"
"Electricity",2007,0,"Motorcycle","L or kWh"
"Gasoline",2008,46955628.72,"Motorcycle","L or kWh"
"Electricity",2008,0,"Motorcycle","L or kWh"
"Gasoline",2009,46937773.08,"Motorcycle","L or kWh"
"Electricity",2009,1478.4,"Motorcycle","L or kWh"
"Gasoline",2010,48313563.75,"Motorcycle","L or kWh"
"Electricity",2010,2646,"Motorcycle","L or kWh"
"Gasoline",2011,47433716.64,"Motorcycle","L or kWh"
"Electricity",2011,3001.6,"Motorcycle","L or kWh"
"Gasoline",2012,46306016.82,"Motorcycle","L or kWh"
"Electricity",2012,2979.2,"Motorcycle","L or kWh"
"Gasoline",2013,45234034.47,"Motorcycle","L or kWh"
"Electricity",2013,2167.2,"Motorcycle","L or kWh"
"Gasoline",2014,44914176,"Motorcycle","L or kWh"
"Electricity",2014,1433.6,"Motorcycle","L or kWh"
"Gasoline",2015,44564878.08,"Motorcycle","L or kWh"
"Electricity",2015,1075.2,"Motorcycle","L or kWh"
"Gasoline",2016,45688092.12,"Motorcycle","L or kWh"
"Electricity",2016,1108.8,"Motorcycle","L or kWh"
"Gasoline",2017,45324029.52,"Motorcycle","L or kWh"
"Electricity",2017,1108.8,"Motorcycle","L or kWh"
"Gasoline",2018,43227756,"Motorcycle","L or kWh"
"Electricity",2018,1092,"Motorcycle","L or kWh"
"Gasoline",2019,44351096.4,"Motorcycle","L or kWh"
"Electricity",2019,1092,"Motorcycle","L or kWh"
"Electricity",2005,75153109.5,"MRT","L or kWh"
"Electricity",2006,74790051,"MRT","L or kWh"
"Electricity",2007,76605343.5,"MRT","L or kWh"
"Electricity",2008,82051221,"MRT","L or kWh"
"Electricity",2009,89584250,"MRT","L or kWh"
"Electricity",2010,100717050,"MRT","L or kWh"
"Electricity",2011,111651050,"MRT","L or kWh"
"Electricity",2012,131665240,"MRT","L or kWh"
"Electricity",2013,131307400,"MRT","L or kWh"
"Electricity",2014,140019810,"MRT","L or kWh"
"Electricity",2015,143111150,"MRT","L or kWh"
"Electricity",2016,169944180,"MRT","L or kWh"
"Electricity",2017,180301660,"MRT","L or kWh"
"Electricity",2018,202279000,"MRT","L or kWh"
"Electricity",2019,202279000,"MRT","L or kWh"
"Electricity",2005,12585531,"LRT","L or kWh"
"Electricity",2006,13497526,"LRT","L or kWh"
"Electricity",2007,14409521,"LRT","L or kWh"
"Electricity",2008,16051112,"LRT","L or kWh"
"Electricity",2009,16415910,"LRT","L or kWh"
"Electricity",2010,16455670,"LRT","L or kWh"
"Electricity",2011,17991400,"LRT","L or kWh"
"Electricity",2012,19298510,"LRT","L or kWh"
"Electricity",2013,22041950,"LRT","L or kWh"
"Electricity",2014,23791390,"LRT","L or kWh"
"Electricity",2015,29506890,"LRT","L or kWh"
"Electricity",2016,32901400,"LRT","L or kWh"
"Electricity",2017,35948010,"LRT","L or kWh"
"Electricity",2018,36290940,"LRT","L or kWh"
"Electricity",2019,36290940,"LRT","L or kWh"
