"Technology","Year","Value","Mode","Scenario"
"CNGB",2028,0,"Public bus","Default"
"EB",2028,35,"Public bus","Default"
"ICEB-D",2029,6095,"Public bus","Default"
"HEB-D",2029,158,"Public bus","Default"
"CNGB",2029,0,"Public bus","Default"
"EB",2029,40,"Public bus","Default"
"ICEB-D",2030,6103,"Public bus","Default"
"HEB-D",2030,178,"Public bus","Default"
"CNGB",2030,0,"Public bus","Default"
"EB",2030,45,"Public bus","Default"
"ICEB-D",2031,6108,"Public bus","Default"
"HEB-D",2031,198,"Public bus","Default"
"CNGB",2031,0,"Public bus","Default"
"EB",2031,50,"Public bus","Default"
"ICEB-D",2032,6112,"Public bus","Default"
"HEB-D",2032,216,"Public bus","Default"
"CNGB",2032,0,"Public bus","Default"
"EB",2032,55,"Public bus","Default"
"ICEB-D",2033,6117,"Public bus","Default"
"HEB-D",2033,232,"Public bus","Default"
"CNGB",2033,0,"Public bus","Default"
"EB",2033,60,"Public bus","Default"
"ICEB-D",2034,6122,"Public bus","Default"
"HEB-D",2034,244,"Public bus","Default"
"CNGB",2034,0,"Public bus","Default"
"EB",2034,65,"Public bus","Default"
"ICEB-D",2035,6129,"Public bus","Default"
"HEB-D",2035,253,"Public bus","Default"
"CNGB",2035,0,"Public bus","Default"
"EB",2035,69,"Public bus","Default"
"ICEB-D",2036,6139,"Public bus","Default"
"HEB-D",2036,259,"Public bus","Default"
"CNGB",2036,0,"Public bus","Default"
"EB",2036,70,"Public bus","Default"
"ICEB-D",2037,6148,"Public bus","Default"
"HEB-D",2037,262,"Public bus","Default"
"CNGB",2037,0,"Public bus","Default"
"EB",2037,73,"Public bus","Default"
"ICEB-D",2038,6157,"Public bus","Default"
"HEB-D",2038,264,"Public bus","Default"
"CNGB",2038,0,"Public bus","Default"
"EB",2038,73,"Public bus","Default"
"ICEB-D",2039,6166,"Public bus","Default"
"HEB-D",2039,265,"Public bus","Default"
"CNGB",2039,0,"Public bus","Default"
"EB",2039,72,"Public bus","Default"
"ICEB-D",2040,6173,"Public bus","Default"
"HEB-D",2040,266,"Public bus","Default"
"CNGB",2040,0,"Public bus","Default"
"EB",2040,71,"Public bus","Default"
"ICEB-D",2041,6179,"Public bus","Default"
"HEB-D",2041,266,"Public bus","Default"
"CNGB",2041,0,"Public bus","Default"
"EB",2041,70,"Public bus","Default"
"ICEB-D",2042,6183,"Public bus","Default"
"HEB-D",2042,265,"Public bus","Default"
"CNGB",2042,0,"Public bus","Default"
"EB",2042,69,"Public bus","Default"
"ICEB-D",2043,6185,"Public bus","Default"
"HEB-D",2043,264,"Public bus","Default"
"CNGB",2043,0,"Public bus","Default"
"EB",2043,69,"Public bus","Default"
"ICEB-D",2044,6185,"Public bus","Default"
"HEB-D",2044,262,"Public bus","Default"
"CNGB",2044,0,"Public bus","Default"
"EB",2044,69,"Public bus","Default"
"ICEB-D",2045,6180,"Public bus","Default"
"HEB-D",2045,262,"Public bus","Default"
"CNGB",2045,0,"Public bus","Default"
"EB",2045,70,"Public bus","Default"
"ICEB-D",2046,6175,"Public bus","Default"
"HEB-D",2046,261,"Public bus","Default"
"CNGB",2046,0,"Public bus","Default"
"EB",2046,71,"Public bus","Default"
"ICEB-D",2047,6168,"Public bus","Default"
"HEB-D",2047,261,"Public bus","Default"
"CNGB",2047,0,"Public bus","Default"
"EB",2047,72,"Public bus","Default"
"ICEB-D",2048,6158,"Public bus","Default"
"HEB-D",2048,261,"Public bus","Default"
"CNGB",2048,0,"Public bus","Default"
"EB",2048,73,"Public bus","Default"
"ICEB-D",2049,6146,"Public bus","Default"
"HEB-D",2049,263,"Public bus","Default"
"CNGB",2049,0,"Public bus","Default"
"EB",2049,73,"Public bus","Default"
"ICEB-D",2050,6135,"Public bus","Default"
"HEB-D",2050,264,"Public bus","Default"
"CNGB",2050,0,"Public bus","Default"
"EB",2050,73,"Public bus","Default"
"ICEM-G",2005,138587,"Motorcycle","Default"
"EM",2005,1,"Motorcycle","Default"
"ICEM-G",2006,141880,"Motorcycle","Default"
"EM",2006,1,"Motorcycle","Default"
"ICEM-G",2007,143482,"Motorcycle","Default"
"EM",2007,0,"Motorcycle","Default"
"ICEM-G",2008,145288,"Motorcycle","Default"
"EM",2008,0,"Motorcycle","Default"
"ICEM-G",2009,146333,"Motorcycle","Default"
"EM",2009,4,"Motorcycle","Default"
"ICEM-G",2010,147275,"Motorcycle","Default"
"EM",2010,7,"Motorcycle","Default"
"ICEM-G",2011,145672,"Motorcycle","Default"
"EM",2011,8,"Motorcycle","Default"
"ICEM-G",2012,143278,"Motorcycle","Default"
"EM",2012,8,"Motorcycle","Default"
"ICEM-G",2013,144301,"Motorcycle","Default"
"EM",2013,6,"Motorcycle","Default"
"ICEM-G",2014,144400,"Motorcycle","Default"
"EM",2014,4,"Motorcycle","Default"
"ICEM-G",2015,143277,"Motorcycle","Default"
"EM",2015,3,"Motorcycle","Default"
"ICEM-G",2016,142437,"Motorcycle","Default"
"EM",2016,3,"Motorcycle","Default"
"ICEM-G",2017,141302,"Motorcycle","Default"
"EM",2017,3,"Motorcycle","Default"
"ICEM-G",2018,136840,"Motorcycle","Default"
"EM",2018,3,"Motorcycle","Default"
"ICEM-G",2019,140396,"Motorcycle","Default"
"EM",2019,3,"Motorcycle","Default"
"ICEM-G",2020,141508,"Motorcycle","Default"
"EM",2020,3,"Motorcycle","Default"
"ICEM-G",2021,142629,"Motorcycle","Default"
"EM",2021,3,"Motorcycle","Default"
"ICEM-G",2022,143762,"Motorcycle","Default"
"EM",2022,3,"Motorcycle","Default"
"ICEM-G",2023,144893,"Motorcycle","Default"
"EM",2023,3,"Motorcycle","Default"
"ICEM-G",2024,145991,"Motorcycle","Default"
"EM",2024,3,"Motorcycle","Default"
"ICEM-G",2025,147033,"Motorcycle","Default"
"EM",2025,3,"Motorcycle","Default"
"ICEM-G",2026,148020,"Motorcycle","Default"
"EM",2026,3,"Motorcycle","Default"
"ICEM-G",2027,148962,"Motorcycle","Default"
"EM",2027,3,"Motorcycle","Default"
"ICEM-G",2028,149855,"Motorcycle","Default"
"EM",2028,3,"Motorcycle","Default"
"ICEM-G",2029,150694,"Motorcycle","Default"
"EM",2029,3,"Motorcycle","Default"
"ICEM-G",2030,151477,"Motorcycle","Default"
"EM",2030,2,"Motorcycle","Default"
"ICEM-G",2031,152201,"Motorcycle","Default"
"EM",2031,1,"Motorcycle","Default"
"ICEM-G",2032,152865,"Motorcycle","Default"
"EM",2032,0,"Motorcycle","Default"
"ICEM-G",2033,153467,"Motorcycle","Default"
"EM",2033,0,"Motorcycle","Default"
"ICEM-G",2034,154005,"Motorcycle","Default"
"EM",2034,0,"Motorcycle","Default"
"ICEM-G",2035,154478,"Motorcycle","Default"
"EM",2035,0,"Motorcycle","Default"
"ICEM-G",2036,154888,"Motorcycle","Default"
"EM",2036,0,"Motorcycle","Default"
"ICEM-G",2037,155234,"Motorcycle","Default"
"EM",2037,0,"Motorcycle","Default"
"ICEM-G",2038,155517,"Motorcycle","Default"
"EM",2038,0,"Motorcycle","Default"
"ICEM-G",2039,155741,"Motorcycle","Default"
"EM",2039,0,"Motorcycle","Default"
"ICEM-G",2040,155906,"Motorcycle","Default"
"EM",2040,0,"Motorcycle","Default"
"ICEM-G",2041,156016,"Motorcycle","Default"
"EM",2041,0,"Motorcycle","Default"
"ICEM-G",2042,156070,"Motorcycle","Default"
"EM",2042,0,"Motorcycle","Default"
"ICEM-G",2043,156074,"Motorcycle","Default"
"EM",2043,0,"Motorcycle","Default"
"ICEM-G",2044,156032,"Motorcycle","Default"
"EM",2044,0,"Motorcycle","Default"
"ICEM-G",2045,155947,"Motorcycle","Default"
"EM",2045,0,"Motorcycle","Default"
"ICEM-G",2046,155823,"Motorcycle","Default"
"EM",2046,0,"Motorcycle","Default"
"ICEM-G",2047,155660,"Motorcycle","Default"
"EM",2047,0,"Motorcycle","Default"
"ICEM-G",2048,155465,"Motorcycle","Default"
"EM",2048,0,"Motorcycle","Default"
"ICEM-G",2049,155240,"Motorcycle","Default"
"EM",2049,0,"Motorcycle","Default"
"ICEM-G",2050,154988,"Motorcycle","Default"
"EM",2050,0,"Motorcycle","Default"
